Date,Publication,Headline,URL,Categories,Topics,Major Ad Tech Companies,Retail Media Networks,Attribution Topics,Ad Formats,Agencies,Relevance Score,Summary
2026-04-17,Digiday,Bauer Media Group slashes publishing headcount in company-wide restructure,https://digiday.com/media/bauer-media-group-slashes-publishing-headcount-in-company-wide-restructure/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,Industry/Business,"publisher layoffs, AI Overviews impact on publishers, media restructuring",,,,,,4,"Bauer Media Group is cutting 20-30% of its publishing headcount in a company-wide restructure, with AI Overviews and rising costs tied to the Iran conflict cited as contributing factors."
2026-04-17,Digiday,Puma’s AI head says the brand is still giving ‘the keys to the consumer’ as it invests in digital concierge,https://digiday.com/marketing/pumas-ai-head-says-the-brand-is-still-giving-the-keys-to-the-consumer-as-it-invests-in-digital-concierge/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Technology, Industry/Business","AI in marketing, digital concierge, in-store brand experience, generative AI",,,,,,3,"Puma has launched an AI-powered 'digital human' concierge named Dylan at its Las Vegas flagship store, reflecting the brand's approach to consumer-led AI experiences."
2026-04-17,Digiday,The Rundown: Q1 dealmaking cools across ad tech and martech as AI remains the hottest ticket,https://digiday.com/marketing/the-rundown-q1-dealmaking-cools-across-ad-tech-and-martech-as-ai-remains-the-hottest-ticket/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,Industry/Business,"M&A activity, ad tech dealmaking, martech dealmaking, AI investment, LUMA Partners Q1 report, macroeconomic uncertainty",,,,,,7,"LUMA Partners' Q1 report shows ad tech and martech M&A activity slowed due to macroeconomic uncertainty, though AI-related deals continue to drive investor interest."
2026-04-17,Digiday,‘Everything is coming down’: ChatGPT ads are getting cheaper,https://digiday.com/marketing/everything-is-coming-down-chatgpt-ads-are-getting-cheaper/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Industry/Business, Ad Formats, Technology","ChatGPT ads, CPM pricing, generative AI advertising, ad pilot programs",,,,Native,,8,"ChatGPT's advertising pilot is seeing CPMs drop from $60 to as low as $25 just nine weeks into testing, signaling softening pricing in OpenAI's early ad offering."
2026-04-17,Digiday,Future of Marketing Briefing: Why brand builders are back in fashion,https://digiday.com/marketing/future-of-marketing-briefing-why-brand-builders-are-back-in-fashion/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,Industry/Business,"brand building, CPG marketing, marketing talent, performance vs brand marketing",,,,,,4,CPG companies are shifting away from performance-focused media optimizers and rehiring traditional brand-building marketers.
2026-04-16,Digiday,U.K. brands increase media spend despite economic storm clouds,https://digiday.com/media-buying/uk-brands-increase-media-spend-despite-economic-stormclouds/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,Industry/Business,"UK ad spend, IPA Bellwether report, CMO sentiment, macroeconomic conditions",,,,,,4,The IPA's quarterly Bellwether report shows U.K. brands are increasing media budgets despite economic and geopolitical headwinds.
2026-04-16,Digiday,Amazon hits pause on controversial change to its advertising payment system that had caused a seller revolt,https://digiday.com/marketing/amazon-hits-pause-on-controversial-change-to-its-advertising-payment-system-that-had-caused-a-seller-revolt/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Retail Media, FAANG, Industry/Business","Amazon advertising payment policy, seller pushback, Sponsored Products",Amazon,Amazon Ads,,Retail Media Ads,,7,Amazon has paused a controversial change to its advertising payment system after coordinated backlash from its seller community.
2026-04-16,Digiday,OpenAI builds tool to track whether ChatGPT ads convert,https://digiday.com/marketing/openai-builds-tool-to-track-whether-chatgpt-ads-convert/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Attribution/Measurement, Technology, Industry/Business","conversion tracking, ad pixels, AI platform advertising, ChatGPT ads",,,"Last-Click, View-Through",,,8,"OpenAI is piloting a conversion-tracking pixel with select advertisers to measure whether ads shown in ChatGPT drive outcomes, signaling its early moves into ad measurement infrastructure."
2026-04-16,Digiday,Media Briefing: The ‘SaaS-pocalypse’ is spreading to publishers,https://digiday.com/media/media-briefing-the-saas-pocalypse-is-spreading-to-publishers/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Industry/Business, Technology","AI tools, publisher technology, build vs buy, SaaS, vibe-coding",,,,,,4,"Publishers are increasingly using AI-powered vibe-coding tools to build their own software in-house, disrupting traditional SaaS vendor relationships."
2026-04-20,AdExchanger,Brand-Trained Agents Can Give Marketers A Fuller View Of Their Customers,https://www.adexchanger.com/ai/brand-trained-agents-can-give-marketers-a-fuller-view-of-their-customers/,"Technology, Industry/Business","agentic commerce, AI agents, brand-trained agents, customer insights, on-site AI",,,,,,5,"Agentic commerce startup Envive builds brand-trained on-site AI agents for companies like Clove, giving marketers clearer insights into customer intent and shopping behavior."
2026-04-20,AdExchanger,Why A 1967 Privacy Law Is Powering A New Wave Of Ad Tech Lawsuits,https://www.adexchanger.com/data-privacy-roundup/why-a-1967-privacy-law-is-powering-a-new-wave-of-ad-tech-lawsuits/,"Privacy/Regulation, Industry/Business","CIPA, California Invasion of Privacy Act, ad tech litigation, wiretapping lawsuits, data privacy law",,,,,,7,A 1967 California wiretapping law (CIPA) is being leveraged in a growing wave of privacy lawsuits targeting ad tech companies.
2026-04-20,AdExchanger,What Happens When The Attribution Cartel Meets Advertising’s Halo Effect?,https://www.adexchanger.com/data-driven-thinking/what-happens-when-the-attribution-cartel-meets-advertisings-halo-effect/,"FAANG, Attribution/Measurement, Privacy/Regulation, Programmatic","Privacy Sandbox, browser-level ad controls, attribution, halo effect",Google,,,,,7,"The article examines how browser vendors are collectively taking over ad features in the wake of Google's Privacy Sandbox winding down, and what that shift means for attribution and advertising's halo effect."
2026-04-20,AdExchanger,Prompt For More Ads; Who Advertises The Advertisers?,https://www.adexchanger.com/daily-news-roundup/prompt-for-more-ads-who-advertises-the-advertisers/,"Industry/Business, Privacy/Regulation, Technology","AI advertising, OpenAI ads, consumer data privacy, Big Tech data practices",,,,,,6,"AdExchanger's daily roundup covers OpenAI's move into advertising and the economic tensions it raises, alongside grassroots efforts teaching consumers to protect their data from Big Tech."
2026-04-17,AdExchanger,Reaching For More Reach,https://www.adexchanger.com/the-big-story/reaching-for-more-reach/,"Retail Media, Industry/Business","diverse-owned media, RFPs, audience data, reach extension, retail media maturity",,,,Retail Media Ads,,6,"Diverse-owned media companies are leveraging their data to extend reach amid shifting RFPs, while retail media is characterized as still being in an early, immature 'potty-training' phase."
2026-04-17,AdExchanger,Hot Take: YouTube Shouldn’t Rely On Creators To Convince Brands It’s TV,https://www.adexchanger.com/ctv-roundup/hot-take-youtube-shouldnt-rely-on-creators-to-convince-brands-its-tv/,"FAANG, Ad Formats, Industry/Business","YouTube advertising, TV upfronts, creator economy, CTV positioning",Google,,,"CTV/OTT, Video",,7,"The article critiques YouTube's strategy of leaning on its creators to pitch advertisers during the upfronts as proof that it qualifies as TV, arguing this undermines its authenticity positioning."
2026-04-17,AdExchanger,"Comic: ‘But, But… You Need A Licensing Deal!’",https://www.adexchanger.com/comic-strip/comic-but-but-you-need-a-licensing-deal/,Industry/Business,licensing deals,,,,,,2,A weekly AdExchanger comic strip humorously referencing licensing deals in the digital advertising ecosystem.
2026-04-17,AdExchanger,The OpenAI Pixel Has Landed; Amazon’s Credit Card Ban Triggers An Ad Boycott,https://www.adexchanger.com/daily-news-roundup/the-openai-pixel-has-landed-amazons-credit-card-ban-triggers-an-ad-boycott/,"FAANG, Retail Media, Attribution/Measurement, Technology, Industry/Business","OpenAI tracking pixel, conversion tracking, Amazon seller boycott, Conversions API (CAPI), server-side tracking",Amazon,Amazon Ads,,,,7,"A roundup covering OpenAI's launch of a tracking pixel, an Amazon seller ad boycott sparked by a credit card ban, and DirecTV adopting Conversions API (CAPI) for server-side tracking."
2026-04-16,AdExchanger,Don’t Worry About Netflix – It’s Doing Fine Without Warner Bros. Discovery,https://www.adexchanger.com/tv/dont-worry-about-netflix-its-doing-fine-without-warner-bros-discovery/,"FAANG, Industry/Business, Ad Formats","streaming M&A, ad-supported streaming, Netflix ads business",Netflix,,,CTV/OTT,,6,Netflix lost the bidding war for Warner Bros. Discovery to Paramount but remains well-positioned in the streaming and ad-supported TV market.
2026-04-16,AdExchanger,Paramount’s Upfront Pitch Is About Three Things,https://www.adexchanger.com/tv/paramounts-upfront-pitch-is-about-three-things/,"Ad Formats, Industry/Business, Technology","CTV advertising, dynamic ad insertion, live sports streaming, ad tech stack consolidation, performance advertising products, upfronts",,,,"CTV/OTT, Video",,7,"Paramount's upfront pitch focuses on unifying the Paramount+ and Pluto TV ad tech stacks, launching a performance ad product, and rolling out dynamic ad insertion for live sports."
2026-04-27,Adweek,Omnicom’s New Influencer Tool Uses Agentic AI to Tweak Content For Brand Safety,https://www.adweek.com/commerce/omnicoms-new-influencer-tool-uses-agentic-ai-to-tweak-content-for-brand-safety/,"FAANG, Technology, Industry/Business","agentic AI, influencer marketing, brand safety, generative AI content, creator content moderation",Google,,,Social,,6,Omnicom has launched a new influencer marketing tool that uses agentic AI powered by Google's Gemini Veo and Nano Banana models to automatically modify creator content for brand safety compliance.
2026-04-27,Adweek,Goodway Group and Optable Partner to Feed AI Agents Cleaner Data,https://www.adweek.com/media/exclusive-goodway-group-and-optable-partner-to-feed-ai-agents-on-cleaner-data/,"Technology, Industry/Business, Attribution/Measurement","AI agents in ad tech, data clean rooms, agency data infrastructure, agentic AI",,,Clean Rooms,,,7,Goodway Group has partnered with Optable to improve data infrastructure and clean room capabilities to support the growing use of AI agents in ad tech.
2026-04-27,Adweek,Walmart Targets Small Businesses With Streaming Ad Marketplace,https://www.adweek.com/commerce/walmart-targets-small-businesses-with-streaming-ad-marketplace/,"Retail Media, Programmatic, Ad Formats","CTV advertising, Walmart DSP, self-serve ad platforms, small business advertising, retail media marketplace",,Walmart Connect,,"CTV/OTT, Search, Display",,8,"Walmart launched Connect Select, a new marketplace giving small businesses access to CTV inventory alongside search and display through Walmart DSP."
2026-04-27,Adweek,How Hendrick’s Blended AI and Theater For Its Biggest Launch in a Decade,https://www.adweek.com/creativity/how-hendricks-blended-ai-and-theater-for-its-biggest-launch-in-a-decade/,"Industry/Business, Technology","AI in creative, brand campaign, experiential marketing",,,,,,2,"Hendrick's Gin partnered with agency Ace of Hearts and AI artist David Szauder to create a theatrical, AI-infused brand campaign for its biggest product launch in a decade."
2026-04-27,Adweek,Hershey Bets on AI Agents to Fix Its $2 Billion Marketing Blind Spot,https://www.adweek.com/brand-marketing/exclusive-hershey-bets-on-ai-agents-to-fix-its-2-billion-marketing-blind-spot/,"Attribution/Measurement, Industry/Business, Technology","Marketing Mix Modeling, agentic AI, media budget allocation, AI in marketing analytics",,,MMM,,,7,"Hershey is partnering with Mutinex and Tracer to apply agentic AI to its marketing mix modeling, aiming to speed up analysis and improve media budget allocation decisions."
2026-04-24,Adweek,Week of April 13 Evening News Ratings: NBC and CBS Grow in Demo,https://www.adweek.com/tvnewser/week-of-april-13-2026-evening-news-ratings/,Industry/Business,"evening news ratings, broadcast TV viewership",,,,,,2,NBC and CBS evening news broadcasts posted growth in the Adults 25-54 demographic for the week of April 13.
2026-04-24,Adweek,Ticker: Cable Networks Offer Live Coverage of the WHCD,https://www.adweek.com/tvnewser/ticker-cable-networks-offer-live-coverage-of-the-whcd/,Industry/Business,"cable news coverage, White House Correspondents Dinner",,,,,,1,A brief news ticker about cable networks providing live coverage of the White House Correspondents Dinner and a Jenna Bush Hager interview with former presidents.
2026-04-24,Adweek,Week of April 13 Morning News Ratings: CBS Has Only Morning Show to Grow,https://www.adweek.com/tvnewser/week-of-april-13-2026-morning-news-ratings/,Industry/Business,"morning TV ratings, broadcast news",,,,,,1,"A ratings report on network morning news shows for the week of April 13, noting CBS was the only morning show to grow while NBC's Today stayed at No. 1."
2026-04-24,Adweek,HP Quietly Launched a Streaming App to Grow Its Advertising Ambitions,https://www.adweek.com/commerce/hp-tv-streaming-app-advertising-ambitions/,"Ad Formats, Industry/Business, Technology","streaming app launch, ad-supported streaming, laptop viewing, device manufacturer advertising",,,,"CTV/OTT, Video",,6,"HP has quietly launched HP TV+, a streaming app aimed at laptop-based viewers, as part of its expanding advertising business ambitions."
2026-04-24,Adweek,&#8216;It Existed Before Fox News Channel&#8217;: Inside the 30th Anniversary of Fox News Sunday,https://www.adweek.com/convergent-tv/it-existed-before-fox-news-channel-inside-the-30th-anniversary-of-fox-news-sunday/,,,,,,,,1,Fox News Sunday celebrates its 30th anniversary with reflections from anchor Shannon Bream and executive producer Jessica Loker.
2026-04-27,Digiday,Meta eyes CTV expansion to fuel its next wave of ad growth,https://digiday.com/future-of-tv/meta-eyes-ctv-expansion-to-fuel-its-next-wave-of-ad-growth/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"FAANG, Ad Formats, Industry/Business","CTV advertising, performance advertising, Meta ad growth",Meta,,,CTV/OTT,,8,Meta is planning to expand its performance advertising business into Connected TV as a new avenue for ad revenue growth.
2026-04-27,Digiday,News UK turns The Times’ first-party data into synthetic audiences for advertisers,https://digiday.com/media/news-uk-turns-the-times-first-party-data-into-synthetic-audiences-for-advertisers/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Programmatic, Privacy/Regulation, Technology","first-party data, synthetic audiences, audience planning, publisher data strategy, cookieless targeting",,,Cookieless,Display,,7,"News UK is leveraging The Times' first-party data to create a synthetic audience planning tool for advertisers, reflecting publishers' push to monetize proprietary data in a cookieless landscape."
2026-04-27,Digiday,"Marketers join OpenAI’s ad pilot, nudged by FOMO",https://digiday.com/marketing/marketers-join-openais-ad-pilot-nudged-by-fomo/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Industry/Business, Technology","OpenAI ad platform, AI advertising, marketer pilot programs, emerging ad platforms",,,,,,7,"Marketers are signing up for OpenAI's newly launched ad pilot largely out of fear of missing out, though it remains unclear whether the platform delivers genuine value."
2026-04-27,Digiday,Media Buying Briefing: Agencies turn creators into test labs for campaigns and product innovation,https://digiday.com/media-buying/media-buying-briefing-agencies-turn-creators-into-test-labs-for-campaigns-and-product-innovation/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,Industry/Business,"creator marketing, influencer marketing, agency strategy, campaign testing, product innovation",,,,Social,,5,Agencies like Horizon Media's Blue Hour Studios are using creators early in the campaign process to test and refine advertising and product innovation for brands like SharkNinja.
2026-04-24,Digiday,Why Coca-Cola has made World Cup TV ads one part of its sports marketing play,https://digiday.com/marketing/why-coca-cola-has-made-world-cup-tv-ads-one-part-of-its-sports-marketing-play/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Ad Formats, Industry/Business","sports marketing, World Cup advertising, brand campaigns, multi-channel advertising",,,,"Social, Video",,4,"Coca-Cola's Powerade brand is using a 360-degree marketing approach across social, digital, and traditional TV for its World Cup 2026 campaign."
2026-04-24,Digiday,"Future of Marketing Briefing: In the age of AI, taste is the new competitive advantage",https://digiday.com/marketing/future-of-marketing-briefing-in-the-age-of-ai-taste-is-the-new-competitive-advantage/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Industry/Business, Technology","generative AI in marketing, creative differentiation, brand strategy",,,,,,4,"An opinion piece arguing that as AI tools commoditize marketing output, human taste and creative judgment have become marketers' most durable competitive advantage."
2026-04-24,Digiday,Nike’s Boston Marathon billboard chiding walkers inspires new Asics and Ecco campaigns,https://digiday.com/marketing/nikes-boston-marathon-billboard-chiding-walkers-inspires-new-asics-and-ecco-campaigns/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Industry/Business, Ad Formats","brand marketing, out-of-home advertising, competitive brand response, Boston Marathon sponsorship",,,,DOOH,,4,"Asics and Ecco launched inclusivity-themed campaigns in response to Nike's controversial Boston Marathon billboard that mocked walkers, which Nike subsequently removed."
2026-04-24,Digiday,Sports guidance to brands from three sources: Keep the fan top of mind and you might just win,https://digiday.com/marketing/sports-guidance-to-brands-from-three-sources-keep-the-fan-top-of-mind-and-you-might-just-win/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,Industry/Business,"sports marketing, agency talent acquisition, AI in advertising",,,,,,3,"Agencies are building out sports marketing practices by hiring from leagues and cautiously deploying AI, with a focus on keeping fans central to brand strategy."
2026-04-23,Digiday,Beehiiv adds even more features to go up against competitors and win over creators,https://digiday.com/media/beehiiv-adds-even-more-features-to-go-up-against-competitors-and-win-over-creators/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Industry/Business, Ad Formats","creator economy, newsletter platforms, podcast platforms, Beehiiv",,,,Audio,,4,"Beehiiv is expanding its platform with new features, including podcasts, to compete with rival creator platforms and attract more creators."
2026-04-23,Digiday,YouTube is turning audio into an ad product — SiriusXM is selling it,https://digiday.com/marketing/youtube-is-turning-audio-into-an-ad-product-siriusxm-is-selling-it/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"FAANG, Ad Formats, Industry/Business","YouTube audio ads, SiriusXM Media partnership, audio advertising sales, ad inventory monetization",Google,,,Audio,,8,"YouTube has entered an exclusive U.S. partnership with SiriusXM Media to sell its audio-first ad inventory, formalizing YouTube's push into the audio advertising market."
2026-04-23,Digiday,Retailers offer fuel perks as consumers look for relief from $4 gas amid U.S.-Iran war,https://digiday.com/marketing/retailers-offer-fuel-perks-as-consumers-look-for-relief-from-4-gas-amid-u-s-iran-war/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,Industry/Business,"fuel rewards programs, loyalty programs, consumer promotions, foot traffic",,,,,,2,Retailers are launching limited-time fuel discount perks to drive foot traffic and attract cost-conscious shoppers as gas prices rise amid the U.S.-Iran conflict.
2026-04-23,Digiday,NHL looks to TikTok to capitalize on Heated Rivalry and Olympics as it grows beyond U.S. and Canada,https://digiday.com/marketing/nhl-looks-to-tiktok-to-capitalize-on-heated-rivalry-and-olympics-as-it-grows-beyond-u-s/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Ad Formats, Industry/Business","TikTok marketing, social media strategy, sports media rights, international audience expansion",,,,Social,,4,The NHL is using TikTok to grow international fan engagement and boost the value of its media rights ahead of the Olympics and the Heated Rivalry series.
2026-04-23,Digiday,"Media Briefing: As traffic declines, publishers see gains in commerce conversions and CTR",https://digiday.com/media/media-briefing-as-traffic-declines-publishers-see-gains-in-commerce-conversions-and-ctr/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,Industry/Business,"publisher commerce revenue, affiliate commerce, traffic decline, click-through rates, audience conversion",,,,,,4,Publishers like Forbes and Apartment Therapy are offsetting declining traffic with stronger commerce conversion rates and click-through performance.
2026-04-23,Digiday,Why brands like The League are making the first move to take advantage of LinkedIn’s creator appeal,https://digiday.com/marketing/why-brands-like-the-league-are-making-the-first-move-to-take-advantage-of-linkedins-creator-appeal/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Ad Formats, Industry/Business","LinkedIn creator marketing, influencer marketing, B2C on B2B platforms, creator economy",,,,Social,,5,"Consumer brands like The League are increasingly leveraging LinkedIn creators to reach the platform's affluent, intent-driven audience."
2026-04-22,Digiday,Why live streaming is the borderless $4 billion global opportunity publishers can’t ignore,https://digiday.com/sponsored/why-live-streaming-is-a-borderless-4-billion-global-opportunity/?utm_campaign=digidaydis&utm_medium=rss&utm_source=general-rss,"Ad Formats, FAANG, Industry/Business","live streaming, live sports streaming, publisher monetization, global streaming opportunity",Google,,,"CTV/OTT, Video",,6,Google's Shane Peros argues that the migration of live events from cable to streaming represents a $4 billion borderless global opportunity for publishers.
2026-04-27,AdExchanger,Brands Can Now Deploy Their Own Agents Inside Publisher Chatbots,https://www.adexchanger.com/publishers/brands-can-now-deploy-their-own-agents-inside-publisher-chatbots/,"Technology, Retail Media, FAANG, Industry/Business","AI shopping agents, brand agents, publisher chatbots, AI monetization, agentic commerce",Amazon,"Walmart Connect, Amazon Ads",,,,7,"Dappier is enabling brands to deploy their own AI shopping agents inside publisher chatbots, expanding the agentic commerce trend beyond retailer platforms like Walmart's Sparky and Amazon's Rufus."
2026-04-27,AdExchanger,Gotta CTV It To Believe It; TBPN’s Ad Tech Emmy Campaign,https://www.adexchanger.com/daily-news-roundup/monday-27042026/,"Ad Formats, Privacy/Regulation, Industry/Business","political advertising on CTV, podcast advertising, data privacy legislation, SECURE Data Act",,,,"CTV/OTT, Audio",,6,"A daily news roundup covering political ads on CTV, OpenAI's new podcast, and the implications of the SECURE Data Act."
2026-04-24,AdExchanger,Does The New Federal Data Privacy Bill Have A Snowball’s Chance Of Passing?,https://www.adexchanger.com/data-privacy/does-the-new-federal-data-privacy-bill-have-a-snowballs-chance-of-passing/,"Privacy/Regulation, Industry/Business","federal privacy legislation, state privacy laws, preemption",,,,,,7,"House Republicans have introduced a new federal data privacy bill that would preempt state privacy laws, though preemption has historically blocked such legislation from passing."
2026-04-24,AdExchanger,An Audience So Nice You Bought It Twice (And That’s Not A Good Thing),https://www.adexchanger.com/content-studio/an-audience-so-nice-you-bought-it-twice-and-thats-not-a-good-thing/,"Programmatic, Ad Formats, Industry/Business","audience overlap, cross-screen measurement, upfront vs programmatic, media planning silos, frequency management",Google,,,"CTV/OTT, Video",,6,"The article argues that siloed upfront and programmatic media plans cause brands to redundantly buy the same audiences across linear TV, CTV, YouTube and the open web."
